product_name,download_name,new_formatted_name,version,new_formatted_version_major
Firefox,firefox,firefox,3.5.19,3.5
Firefox,firefox,firefox,3.5.20pre,3.5
Firefox,firefox,firefox,3.6.25,3.6
Firefox,firefox,firefox,3.6.26pre,3.6
Firefox,firefox,firefox,3.6.26,3.6
Firefox,firefox,firefox,3.6.27pre,3.6
Firefox,firefox,firefox,3.6.27,3.6
Firefox,firefox,firefox,3.6.28pre,3.6
Firefox,firefox,firefox,3.6.28,3.6
Firefox,firefox,firefox,3.6.29pre,3.6
Firefox,firefox,firefox,4.0b12,4.0
Firefox,firefox,firefox,4.0b13pre,4.0
Firefox,firefox,firefox,4.0rc1,4.0
Firefox,firefox,firefox,4.0rc2,4.0
Firefox,firefox,firefox,4.0pre,4.0
Firefox,firefox,firefox,4.0,4.0
Firefox,firefox,firefox,4.0.1,4.0
Firefox,firefox,firefox,4.0.2pre,4.0
Firefox,firefox,firefox,4.2a1pre,5.0
Firefox,firefox,firefox,5.0a2,5.0
Firefox,firefox,firefox,5.0b1,5.0
Firefox,firefox,firefox,5.0,5.0
Firefox,firefox,firefox,5.0.1,5.0
Firefox,firefox,firefox,6.0a1,6.0
Firefox,firefox,firefox,6.0a2,6.0
Firefox,firefox,firefox,6.0,6.0
Firefox,firefox,firefox,6.0.1,6.0
Firefox,firefox,firefox,6.0.2,6.0
Firefox,firefox,firefox,7.0a1,7.0
Firefox,firefox,firefox,7.0a2,7.0
Firefox,firefox,firefox,7.0b3,7.0
Firefox,firefox,firefox,7.0b4,7.0
Firefox,firefox,firefox,7.0b5,7.0
Firefox,firefox,firefox,7.0b6,7.0
Firefox,firefox,firefox,7.0,7.0
Firefox,firefox,firefox,7.0.1,7.0
Firefox,firefox,firefox,8.0a1,8.0
Firefox,firefox,firefox,8.0a2,8.0
Firefox,firefox,firefox,8.0b4,8.0
Firefox,firefox,firefox,8.0b5,8.0
Firefox,firefox,firefox,8.0,8.0
Firefox,firefox,firefox,8.0.1,8.0
Firefox,firefox,firefox,9.0a1,9.0
Firefox,firefox,firefox,9.0a2,9.0
Firefox,firefox,firefox,9.0b1,9.0
Firefox,firefox,firefox,9.0b2,9.0
Firefox,firefox,firefox,9.0b3,9.0
Firefox,firefox,firefox,9.0b4,9.0
Firefox,firefox,firefox,9.0b5,9.0
